z, Pressure_0, Pressure_1, Velocity_0, GasTemperature_0, SolidTemperature_0, H2_0, NH3_0, N2_0, Ni(s)_0, N(s)_0, H(s)_0, NH(s)_0, NH2(s)_0, NH3(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, H2_1, NH3_1, N2_1, Ni(s)_1, N(s)_1, H(s)_1, NH(s)_1, NH2(s)_1, NH3(s)_1, 
0.00555556, 510077, 510062, 0.0279329, 773, 773, 0.238569, 0.729151, 0.0322804, 0.00265036, 0.975536, 0.0197571, 0.00203687, 1.71381e-07, 1.98027e-05, 0.0315045, 773, 773, 0.236313, 0.736871, 0.026816, 0.00260461, 0.97599, 0.0193541, 0.00203132, 1.70445e-07, 1.96626e-05, 
0.0111111, 510069, 510053, 0.0332118, 773, 773, 0.414371, 0.423673, 0.161956, 0.00817085, 0.911722, 0.0776444, 0.00242662, 2.56432e-07, 3.59263e-05, 0.0309242, 773, 773, 0.409695, 0.416787, 0.173518, 0.00817314, 0.91215, 0.0772271, 0.00241404, 2.53671e-07, 3.53441e-05, 
0.0166667, 510060, 510045, 0.0346448, 773, 773, 0.485562, 0.292741, 0.221698, 0.0136786, 0.843349, 0.140504, 0.00242634, 2.76655e-07, 4.16862e-05, 0.0309038, 773, 773, 0.477098, 0.294221, 0.228681, 0.0133434, 0.848332, 0.135865, 0.00241937, 2.73475e-07, 4.08568e-05, 
0.0222222, 510050, 510036, 0.0355049, 773, 773, 0.521513, 0.161873, 0.316614, 0.0235001, 0.724236, 0.250066, 0.00215855, 2.54747e-07, 3.96788e-05, 0.027895, 773, 773, 0.511743, 0.164612, 0.323645, 0.0227982, 0.734679, 0.240314, 0.00216907, 2.53592e-07, 3.91324e-05, 
0.0277778, 510039, 510028, 0.032072, 773, 773, 0.506195, 0.0871527, 0.406652, 0.0345726, 0.601216, 0.362415, 0.00176523, 2.05162e-07, 3.1457e-05, 0.02384, 773, 773, 0.494184, 0.0820955, 0.42372, 0.0352285, 0.598128, 0.364878, 0.00173518, 1.99261e-07, 3.01875e-05, 
0.0305556, 510035, 510025, 0.0295677, 773, 773, 0.483462, 0.0532155, 0.463323, 0.0441174, 0.502463, 0.451954, 0.00144173, 1.63731e-07, 2.45258e-05, 0.0224592, 773, 773, 0.471801, 0.0509688, 0.47723, 0.0445129, 0.503567, 0.450469, 0.00142735, 1.60131e-07, 2.36958e-05, 
0.0333334, 510030, 510021, 0.0280433, 773, 773, 0.449751, 0.0305523, 0.519696, 0.0549569, 0.400909, 0.543007, 0.00110949, 1.21515e-07, 1.7552e-05, 0.0200148, 773, 773, 0.43818, 0.0288515, 0.532968, 0.0557575, 0.399356, 0.543779, 0.00109088, 1.17928e-07, 1.68133e-05, 
0.0361111, 510026, 510018, 0.0254109, 773, 773, 0.407734, 0.0163025, 0.575964, 0.0669619, 0.302276, 0.629954, 0.000796491, 8.30525e-08, 1.14203e-05, 0.018954, 773, 773, 0.39755, 0.0155054, 0.586944, 0.0677508, 0.30209, 0.629363, 0.000785992, 8.09274e-08, 1.09882e-05, 
0.0388889, 510022, 510015, 0.0245129, 773, 773, 0.366477, 0.00899275, 0.62453, 0.0778115, 0.227615, 0.693998, 0.000568606, 5.62076e-08, 7.32658e-06, 0.0172672, 773, 773, 0.357967, 0.00857115, 0.633462, 0.0786791, 0.227216, 0.693537, 0.000560977, 5.48055e-08, 7.06037e-06, 
0.0416667, 510018, 510012, 0.0227731, 773, 773, 0.327701, 0.00528416, 0.667015, 0.0871548, 0.177368, 0.735053, 0.000418986, 3.91634e-08, 4.8268e-06, 0.0164121, 773, 773, 0.321156, 0.00513085, 0.673713, 0.0877914, 0.178799, 0.732987, 0.000418124, 3.86904e-08, 4.72063e-06, 
0.0444445, 510014, 510010, 0.0224251, 773, 773, 0.295919, 0.00370067, 0.70038, 0.0936282, 0.15564, 0.750379, 0.000349375, 3.1032e-08, 3.6342e-06, 0.0151595, 773, 773, 0.290146, 0.0035727, 0.706281, 0.0944059, 0.156052, 0.749191, 0.000346864, 3.05068e-08, 3.53766e-06, 
0.0472222, 510010, 510007, 0.0211238, 773, 773, 0.268527, 0.00287594, 0.728597, 0.098686, 0.147579, 0.753416, 0.000315573, 2.67004e-08, 2.97855e-06, 0.0147983, 773, 773, 0.264173, 0.00281796, 0.733009, 0.0992345, 0.149013, 0.751434, 0.000316044, 2.65225e-08, 2.93461e-06, 
0.05, 510007, 510005, 0.0206994, 773, 773, 0.248301, 0.00247346, 0.749226, 0.102133, 0.147775, 0.749786, 0.000303857, 2.47217e-08, 2.65187e-06, 0.0144299, 773, 773, 0.245199, 0.00243666, 0.752364, 0.102556, 0.148959, 0.748178, 0.000304372, 2.46084e-08, 2.62318e-06, 
0.0527778, 510003, 510002, 0.0202995, 773, 773, 0.233479, 0.00222937, 0.764291, 0.104689, 0.149753, 0.745257, 0.000298593, 2.3557e-08, 2.45033e-06, 0.0141325, 773, 773, 0.231284, 0.00220569, 0.76651, 0.105003, 0.150724, 0.743971, 0.000299113, 2.34869e-08, 2.43152e-06, 
0.0555556, 510000, 510000, 0.0200369, 773, 773, 0.223618, 0.00207344, 0.774309, 0.106506, 0.151192, 0.742005, 0.000295026, 2.27787e-08, 2.31876e-06, 0.0139706, 773, 773, 0.22227, 0.00206237, 0.775668, 0.106685, 0.152006, 0.741011, 0.000295718, 2.27632e-08, 2.3102e-06, 
