z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Annular_Density_ch, Annular_Velocity_ch, Annular_Temperature_ch, 
0.000526316, 1.00021e+06, 0.143109, 1173, 1173, 0.173161, 0.0184685, 4.5197e-17, 0.0279817, 0.194781, 0.585599, 8.82503e-06, 0.258485, 0.0072524, 4.20602e-09, 0.00423899, 2.30315e-05, 0.260818, 0.000231746, 8.65995e-08, 6.52821e-11, 1.4378e-11, 1.20867e-09, 3.71332e-10, 4.84454e-08, 0.468951, 0.0206708, 0.01, 1173, 
0.00157895, 1.00019e+06, 0.148513, 1173, 1173, 0.133676, 0.0343193, 1.74228e-17, 0.0433103, 0.275285, 0.5134, 8.47245e-06, 0.267566, 0.00391771, 2.82729e-09, 0.00323597, 2.31499e-05, 0.316773, 0.000148822, 2.25072e-07, 1.25571e-10, 8.18608e-12, 7.77586e-10, 2.14793e-10, 5.78274e-08, 0.408336, 0.0206708, 0.0182993, 1173, 
0.00263158, 1.00018e+06, 0.152558, 1173, 1173, 0.11063, 0.0463591, 1.12643e-17, 0.0506016, 0.316957, 0.475445, 8.31681e-06, 0.267906, 0.00294051, 2.18341e-09, 0.00279635, 2.34797e-05, 0.345178, 0.000119856, 3.52473e-07, 1.69837e-10, 6.06313e-12, 5.95863e-10, 1.57491e-10, 6.29147e-08, 0.381036, 0.0206708, 0.0285713, 1173, 
0.00368421, 1.00017e+06, 0.152785, 1173, 1173, 0.0947439, 0.056061, 8.74362e-18, 0.055362, 0.341932, 0.451893, 8.25672e-06, 0.266416, 0.00248049, 1.79029e-09, 0.00254469, 2.39547e-05, 0.36361, 0.000105013, 4.63064e-07, 2.04236e-10, 4.9641e-12, 4.88588e-10, 1.26208e-10, 6.66604e-08, 0.364819, 0.0206708, 0.0400255, 1173, 
0.00473684, 1.00016e+06, 0.153952, 1173, 1173, 0.0827775, 0.0641867, 7.43265e-18, 0.0591698, 0.357819, 0.436039, 8.25389e-06, 0.26437, 0.00221872, 1.51731e-09, 0.00238184, 2.45337e-05, 0.377016, 9.60869e-05, 5.57677e-07, 2.3204e-10, 4.28248e-12, 4.15338e-10, 1.05936e-10, 6.98355e-08, 0.353892, 0.0206708, 0.0522316, 1173, 
0.00578947, 1.00015e+06, 0.152336, 1173, 1173, 0.0732544, 0.0711968, 6.67303e-18, 0.0626016, 0.368018, 0.424921, 8.28969e-06, 0.262109, 0.00205519, 1.31269e-09, 0.00226914, 2.52081e-05, 0.387478, 9.0264e-05, 6.38186e-07, 2.55178e-10, 3.81206e-12, 3.60952e-10, 9.1451e-11, 7.2768e-08, 0.345972, 0.0206708, 0.0649203, 1173, 
0.00684211, 1.00014e+06, 0.152233, 1173, 1173, 0.0653901, 0.0773745, 6.21174e-18, 0.0659049, 0.374324, 0.416998, 8.354e-06, 0.259754, 0.00194848, 1.15141e-09, 0.00218814, 2.59732e-05, 0.396031, 8.63068e-05, 7.06315e-07, 2.74824e-10, 3.46273e-12, 3.18312e-10, 8.04224e-11, 7.56145e-08, 0.339966, 0.0206708, 0.0779073, 1173, 
0.00789474, 1.00013e+06, 0.149702, 1173, 1173, 0.0587168, 0.0829109, 5.93423e-18, 0.0692092, 0.377791, 0.411364, 8.44024e-06, 0.257347, 0.00187821, 1.01961e-09, 0.00212874, 2.68281e-05, 0.403265, 8.35781e-05, 7.63589e-07, 2.91758e-10, 3.1885e-12, 2.83546e-10, 7.16349e-11, 7.84627e-08, 0.335269, 0.0206708, 0.0910583, 1173, 
0.00894737, 1.00012e+06, 0.148921, 1173, 1173, 0.0529399, 0.0879246, 5.78266e-18, 0.0725806, 0.379093, 0.407454, 8.54476e-06, 0.254915, 0.00183331, 9.09036e-10, 0.00208497, 2.77702e-05, 0.409524, 8.17201e-05, 8.1117e-07, 3.06473e-10, 2.96361e-12, 2.54379e-10, 6.43941e-11, 8.13568e-08, 0.331532, 0.0206708, 0.104271, 1173, 
0.01, 1.0001e+06, 0.145882, 1173, 1173, 0.0478583, 0.0925103, 5.72165e-18, 0.0760689, 0.37868, 0.404874, 8.66396e-06, 0.252461, 0.00180713, 8.14309e-10, 0.00205293, 2.88012e-05, 0.415047, 8.05087e-05, 8.50159e-07, 3.1935e-10, 2.77239e-12, 2.29345e-10, 5.82658e-11, 8.43303e-08, 0.328521, 0.0206708, 0.117463, 1173, 
0.0110526, 1.00009e+06, 0.144721, 1173, 1173, 0.0433366, 0.0967121, 5.73356e-18, 0.0796914, 0.376881, 0.40337, 8.79689e-06, 0.250001, 0.00179567, 7.31923e-10, 0.00203019, 2.99182e-05, 0.419966, 7.98074e-05, 8.81267e-07, 3.30597e-10, 2.60497e-12, 2.075e-10, 5.29737e-11, 8.73917e-08, 0.326097, 0.0206708, 0.130571, 1173, 
0.0121053, 1.00008e+06, 0.141397, 1173, 1173, 0.0392659, 0.100599, 5.80572e-18, 0.0834869, 0.373925, 0.402714, 8.94027e-06, 0.247521, 0.00179608, 6.59182e-10, 0.0020147, 3.11274e-05, 0.424418, 7.95113e-05, 9.05479e-07, 3.40469e-10, 2.45458e-12, 1.88125e-10, 4.83152e-11, 9.05657e-08, 0.324139, 0.0206708, 0.143538, 1173, 
0.0131579, 1.00007e+06, 0.140031, 1173, 1173, 0.0355873, 0.104154, 5.93203e-18, 0.0874366, 0.370008, 0.402805, 9.09536e-06, 0.24505, 0.00180688, 5.9458e-10, 0.00200555, 3.24211e-05, 0.428427, 7.95689e-05, 9.23018e-07, 3.48978e-10, 2.31711e-12, 1.70822e-10, 4.41746e-11, 9.38335e-08, 0.322598, 0.0206708, 0.156319, 1173, 
