z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, 
0.000526316, 1.00021e+06, 0.143049, 1173, 1173, 0.173166, 0.0184633, 4.52274e-17, 0.02797, 0.194782, 0.58561, 8.82465e-06, 0.258494, 0.00725278, 4.20629e-09, 0.00423922, 2.30262e-05, 0.260791, 0.000231758, 8.6577e-08, 6.52663e-11, 1.4379e-11, 1.20876e-09, 3.71358e-10, 4.84344e-08, 0.468968, 
0.00157895, 1.00019e+06, 0.148581, 1173, 1173, 0.133659, 0.0343303, 1.74123e-17, 0.0433223, 0.275299, 0.513381, 8.47257e-06, 0.267557, 0.00391715, 2.82677e-09, 0.00323567, 2.3154e-05, 0.316804, 0.000148805, 2.2515e-07, 1.25608e-10, 8.18444e-12, 7.77437e-10, 2.14749e-10, 5.78391e-08, 0.408313, 
0.00263158, 1.00018e+06, 0.152488, 1173, 1173, 0.110644, 0.0463482, 1.12666e-17, 0.0505933, 0.316944, 0.475462, 8.31668e-06, 0.267912, 0.00294086, 2.18379e-09, 0.00279658, 2.34771e-05, 0.345154, 0.000119868, 3.52379e-07, 1.69802e-10, 6.06416e-12, 5.95968e-10, 1.5752e-10, 6.29064e-08, 0.381053, 
0.00368421, 1.00017e+06, 0.152859, 1173, 1173, 0.094735, 0.0560668, 8.74185e-18, 0.0553656, 0.34194, 0.451885, 8.2567e-06, 0.266413, 0.00248034, 1.79008e-09, 0.00254459, 2.39557e-05, 0.363621, 0.000105007, 4.6312e-07, 2.04255e-10, 4.96358e-12, 4.88533e-10, 1.26193e-10, 6.6664e-08, 0.364812, 
0.00473684, 1.00016e+06, 0.153878, 1173, 1173, 0.0827779, 0.0641857, 7.43305e-18, 0.0591689, 0.35782, 0.43604, 8.25386e-06, 0.264371, 0.00221872, 1.51732e-09, 0.00238185, 2.45334e-05, 0.377014, 9.60871e-05, 5.57669e-07, 2.32037e-10, 4.2825e-12, 4.15341e-10, 1.05937e-10, 6.98345e-08, 0.353893, 
0.00578947, 1.00015e+06, 0.152411, 1173, 1173, 0.0732524, 0.0711985, 6.67313e-18, 0.0626028, 0.368019, 0.424919, 8.28968e-06, 0.262108, 0.00205517, 1.31265e-09, 0.00226912, 2.52085e-05, 0.387481, 9.02632e-05, 6.38201e-07, 2.55183e-10, 3.81197e-12, 3.60941e-10, 9.14482e-11, 7.27691e-08, 0.345971, 
0.00684211, 1.00014e+06, 0.152159, 1173, 1173, 0.0653907, 0.0773732, 6.2112e-18, 0.0659034, 0.374325, 0.416999, 8.35398e-06, 0.259755, 0.00194848, 1.15142e-09, 0.00218815, 2.59728e-05, 0.396029, 8.63069e-05, 7.06307e-07, 2.74821e-10, 3.46275e-12, 3.18315e-10, 8.04232e-11, 7.56133e-08, 0.339966, 
0.00789474, 1.00013e+06, 0.149776, 1173, 1173, 0.0587141, 0.0829138, 5.93437e-18, 0.0692118, 0.37779, 0.411362, 8.44027e-06, 0.257346, 0.0018782, 1.01956e-09, 0.00212871, 2.68288e-05, 0.403269, 8.35774e-05, 7.63612e-07, 2.91766e-10, 3.1884e-12, 2.83532e-10, 7.16315e-11, 7.84647e-08, 0.335267, 
0.00894737, 1.00012e+06, 0.148848, 1173, 1173, 0.0529438, 0.0879199, 5.78245e-18, 0.0725757, 0.379097, 0.407456, 8.54465e-06, 0.254918, 0.00183332, 9.09111e-10, 0.002085, 2.77688e-05, 0.409518, 8.17206e-05, 8.11138e-07, 3.06461e-10, 2.96376e-12, 2.54399e-10, 6.43988e-11, 8.1353e-08, 0.331535, 
0.01, 1.0001e+06, 0.145954, 1173, 1173, 0.0478467, 0.0925218, 5.722e-18, 0.07608, 0.378673, 0.404869, 8.66431e-06, 0.252454, 0.00180711, 8.14096e-10, 0.00205287, 2.88044e-05, 0.415061, 8.0507e-05, 8.50241e-07, 3.1938e-10, 2.77196e-12, 2.29288e-10, 5.82522e-11, 8.4339e-08, 0.328515, 
0.0110526, 1.00009e+06, 0.14465, 1173, 1173, 0.0433488, 0.0967006, 5.73332e-18, 0.0796793, 0.37689, 0.403372, 8.79646e-06, 0.250008, 0.00179567, 7.32142e-10, 0.00203024, 2.99146e-05, 0.419952, 7.98083e-05, 8.81194e-07, 3.30567e-10, 2.60543e-12, 2.07558e-10, 5.29877e-11, 8.73823e-08, 0.326103, 
0.0121053, 1.00008e+06, 0.141466, 1173, 1173, 0.0392599, 0.100604, 5.80741e-18, 0.0834928, 0.37392, 0.402714, 8.94053e-06, 0.247518, 0.00179609, 6.59076e-10, 0.00201468, 3.11291e-05, 0.424423, 7.95112e-05, 9.05506e-07, 3.40481e-10, 2.45435e-12, 1.88096e-10, 4.83083e-11, 9.05701e-08, 0.324136, 
0.0131579, 1.00007e+06, 0.139963, 1173, 1173, 0.0355901, 0.104152, 5.92555e-18, 0.0874322, 0.370014, 0.402802, 9.09514e-06, 0.245052, 0.00180683, 5.94628e-10, 0.00200554, 3.24197e-05, 0.428425, 7.95675e-05, 9.23026e-07, 3.48975e-10, 2.31723e-12, 1.70835e-10, 4.41777e-11, 9.38302e-08, 0.322598, 
0.0142105, 1.00006e+06, 0.136626, 1173, 1173, 0.0322146, 0.107475, 6.19277e-18, 0.091608, 0.365246, 0.403448, 9.25763e-06, 0.242547, 0.00182644, 5.36193e-10, 0.00200115, 3.38167e-05, 0.43213, 7.99105e-05, 9.35127e-07, 3.56424e-10, 2.18867e-12, 1.5509e-10, 4.04188e-11, 9.724e-08, 0.32138, 
0.0152632, 1.00005e+06, 0.135035, 1173, 1173, 0.0291378, 0.110469, 6.19503e-18, 0.0959439, 0.359771, 0.404669, 9.43209e-06, 0.240065, 0.00185478, 4.83653e-10, 0.00200171, 3.52975e-05, 0.435458, 8.05395e-05, 9.41313e-07, 3.62597e-10, 2.06775e-12, 1.40834e-10, 3.70158e-11, 1.00734e-07, 0.320504, 
0.0163158, 1.00004e+06, 0.131657, 1173, 1173, 0.0263068, 0.113285, 6.82928e-18, 0.100469, 0.353792, 0.406138, 9.6054e-06, 0.23757, 0.0018891, 4.35755e-10, 0.00200484, 3.68665e-05, 0.438572, 8.13447e-05, 9.43848e-07, 3.67969e-10, 1.95339e-12, 1.27762e-10, 3.38882e-11, 1.04333e-07, 0.319844, 
0.0173684, 1.00003e+06, 0.13003, 1173, 1173, 0.0237913, 0.115629, 6.68321e-18, 0.105107, 0.347159, 0.408303, 9.79629e-06, 0.235131, 0.00193376, 3.93757e-10, 0.00201375, 3.852e-05, 0.441228, 8.24834e-05, 9.39541e-07, 3.71737e-10, 1.84595e-12, 1.16178e-10, 3.11131e-11, 1.07985e-07, 0.319571, 
