z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, 
0.000526316, 1.00021e+06, 0.143049, 1173, 1173, 0.179688, 0.0334498, 9.36041e-17, 0.0796167, 0.0253985, 0.682359, 2.28026e-05, 0.258494, 0.00725278, 4.20629e-09, 0.00423922, 2.30262e-05, 0.260791, 0.000231758, 8.6577e-08, 6.52663e-11, 1.4379e-11, 1.20876e-09, 3.71358e-10, 4.84344e-08, 0.468968, 
0.00157895, 1.00019e+06, 0.148581, 1173, 1173, 0.144862, 0.0649625, 3.76401e-17, 0.128803, 0.0374944, 0.624807, 2.28667e-05, 0.267557, 0.00391715, 2.82677e-09, 0.00323567, 2.3154e-05, 0.316804, 0.000148805, 2.2515e-07, 1.25608e-10, 8.18444e-12, 7.77437e-10, 2.14749e-10, 5.78391e-08, 0.408313, 
0.00263158, 1.00018e+06, 0.152488, 1173, 1173, 0.122358, 0.0894877, 2.48503e-17, 0.15348, 0.0440443, 0.590428, 2.29025e-05, 0.267912, 0.00294086, 2.18379e-09, 0.00279658, 2.34771e-05, 0.345154, 0.000119868, 3.52379e-07, 1.69802e-10, 6.06416e-12, 5.95968e-10, 1.5752e-10, 6.29064e-08, 0.381053, 
0.00368421, 1.00017e+06, 0.152859, 1173, 1173, 0.106079, 0.10961, 1.95236e-17, 0.170065, 0.0481142, 0.568192, 2.30227e-05, 0.266413, 0.00248034, 1.79008e-09, 0.00254459, 2.39557e-05, 0.363621, 0.000105007, 4.6312e-07, 2.04255e-10, 4.96358e-12, 4.88533e-10, 1.26193e-10, 6.6664e-08, 0.364812, 
0.00473684, 1.00016e+06, 0.153878, 1173, 1173, 0.0928835, 0.125745, 1.66352e-17, 0.182127, 0.0504538, 0.549413, 2.30628e-05, 0.264371, 0.00221872, 1.51732e-09, 0.00238185, 2.45334e-05, 0.377014, 9.60871e-05, 5.57669e-07, 2.32037e-10, 4.2825e-12, 4.15341e-10, 1.05937e-10, 6.98345e-08, 0.353893, 
0.00578947, 1.00015e+06, 0.152411, 1173, 1173, 0.0821395, 0.139389, 1.49244e-17, 0.192566, 0.0518567, 0.535039, 2.31472e-05, 0.262108, 0.00205517, 1.31265e-09, 0.00226912, 2.52085e-05, 0.387481, 9.02632e-05, 6.38201e-07, 2.55183e-10, 3.81197e-12, 3.60941e-10, 9.14482e-11, 7.27691e-08, 0.345971, 
0.00684211, 1.00014e+06, 0.152159, 1173, 1173, 0.0729916, 0.150791, 1.38283e-17, 0.2018, 0.0525063, 0.522686, 2.3221e-05, 0.259755, 0.00194848, 1.15142e-09, 0.00218815, 2.59728e-05, 0.396029, 8.63069e-05, 7.06307e-07, 2.74821e-10, 3.46275e-12, 3.18315e-10, 8.04232e-11, 7.56133e-08, 0.339966, 
0.00789474, 1.00013e+06, 0.149776, 1173, 1173, 0.0650972, 0.1605, 1.3123e-17, 0.210502, 0.0526351, 0.512145, 2.33028e-05, 0.257346, 0.0018782, 1.01956e-09, 0.00212871, 2.68288e-05, 0.403269, 8.35774e-05, 7.63612e-07, 2.91766e-10, 3.1884e-12, 2.83532e-10, 7.16315e-11, 7.84647e-08, 0.335267, 
0.00894737, 1.00012e+06, 0.148848, 1173, 1173, 0.0581932, 0.168722, 1.26767e-17, 0.218829, 0.0523614, 0.502905, 2.33874e-05, 0.254918, 0.00183332, 9.09111e-10, 0.002085, 2.77688e-05, 0.409518, 8.17206e-05, 8.11138e-07, 3.06461e-10, 2.96376e-12, 2.54399e-10, 6.43988e-11, 8.1353e-08, 0.331535, 
0.01, 1.0001e+06, 0.145954, 1173, 1173, 0.0519962, 0.175546, 1.24023e-17, 0.226801, 0.0517117, 0.494063, 2.34468e-05, 0.252454, 0.00180711, 8.14096e-10, 0.00205287, 2.88044e-05, 0.415061, 8.0507e-05, 8.50241e-07, 3.1938e-10, 2.77196e-12, 2.29288e-10, 5.82522e-11, 8.4339e-08, 0.328515, 
