z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, 
0.0110526, 1.00009e+06, 0.14465, 1173, 1173, 0.0464344, 0.18085, 1.22491e-17, 0.234134, 0.050732, 0.485196, 2.3464e-05, 0.250008, 0.00179567, 7.32142e-10, 0.00203024, 2.99146e-05, 0.419952, 7.98083e-05, 8.81194e-07, 3.30567e-10, 2.60543e-12, 2.07558e-10, 5.29877e-11, 8.73823e-08, 0.326103, 
0.0121053, 1.00008e+06, 0.141466, 1173, 1173, 0.0417747, 0.186899, 1.23249e-17, 0.243708, 0.0499975, 0.481183, 2.36896e-05, 0.247518, 0.00179609, 6.59076e-10, 0.00201468, 3.11291e-05, 0.424423, 7.95112e-05, 9.05506e-07, 3.40481e-10, 2.45435e-12, 1.88096e-10, 4.83083e-11, 9.05701e-08, 0.324136, 
0.0131579, 1.00007e+06, 0.139963, 1173, 1173, 0.0372577, 0.190364, 1.23724e-17, 0.251081, 0.0486755, 0.473507, 2.37098e-05, 0.245052, 0.00180683, 5.94628e-10, 0.00200554, 3.24197e-05, 0.428425, 7.95675e-05, 9.23026e-07, 3.48975e-10, 2.31723e-12, 1.70835e-10, 4.41777e-11, 9.38302e-08, 0.322598, 
0.0142105, 1.00006e+06, 0.136626, 1173, 1173, 0.0333277, 0.194128, 1.27784e-17, 0.259981, 0.0474835, 0.468693, 2.38498e-05, 0.242547, 0.00182644, 5.36193e-10, 0.00200115, 3.38167e-05, 0.43213, 7.99105e-05, 9.35127e-07, 3.56424e-10, 2.18867e-12, 1.5509e-10, 4.04188e-11, 9.724e-08, 0.32138, 
0.0152632, 1.00005e+06, 0.135035, 1173, 1173, 0.0293818, 0.194486, 1.24595e-17, 0.265396, 0.0455883, 0.458216, 2.36843e-05, 0.240065, 0.00185478, 4.83653e-10, 0.00200171, 3.52975e-05, 0.435458, 8.05395e-05, 9.41313e-07, 3.62597e-10, 2.06775e-12, 1.40834e-10, 3.70158e-11, 1.00734e-07, 0.320504, 
0.0163158, 1.00004e+06, 0.131657, 1173, 1173, 0.0258528, 0.194375, 1.33861e-17, 0.270848, 0.0436911, 0.44819, 2.35064e-05, 0.23757, 0.0018891, 4.35755e-10, 0.00200484, 3.68665e-05, 0.438572, 8.13447e-05, 9.43848e-07, 3.67969e-10, 1.95339e-12, 1.27762e-10, 3.38882e-11, 1.04333e-07, 0.319844, 
0.0173684, 1.00003e+06, 0.13003, 1173, 1173, 0.0238375, 0.202274, 1.33557e-17, 0.28889, 0.0437097, 0.459384, 2.4442e-05, 0.235131, 0.00193376, 3.93757e-10, 0.00201375, 3.852e-05, 0.441228, 8.24834e-05, 9.39541e-07, 3.71737e-10, 1.84595e-12, 1.16178e-10, 3.11131e-11, 1.07985e-07, 0.319571, 
0.0184211, 1.00002e+06, 0.126642, 1173, 1173, 0.0196734, 0.193209, 1.3472e-17, 0.28373, 0.0399335, 0.430982, 2.32804e-05, 0.232393, 0.00198403, 3.47768e-10, 0.00202193, 4.04338e-05, 0.444196, 8.37182e-05, 9.35202e-07, 3.75895e-10, 1.72686e-12, 1.03501e-10, 2.80418e-11, 1.12131e-07, 0.31928, 
0.0194737, 1.00001e+06, 0.125255, 1173, 1173, 0.0170605, 0.18222, 1.47996e-17, 0.274043, 0.0365689, 0.404689, 2.20843e-05, 0.230447, 0.00203668, 3.23463e-10, 0.00203703, 4.19489e-05, 0.44576, 8.51379e-05, 9.22437e-07, 3.76702e-10, 1.65352e-12, 9.65957e-11, 2.63869e-11, 1.15247e-07, 0.319591, 
0.0205263, 1e+06, 0.121441, 1173, 1173, 0.0155295, 0.202827, 1.59186e-17, 0.317913, 0.0386194, 0.443391, 2.46631e-05, 0.227094, 0.0021132, 2.70724e-10, 0.00205109, 4.45328e-05, 0.448909, 8.70217e-05, 9.10013e-07, 3.79774e-10, 1.5062e-12, 8.19662e-11, 2.27687e-11, 1.20521e-07, 0.319701, 
